id,survey.demoAge,survey.gender,survey.ethnicity.0,survey.ethnicity.1,survey.ethnicity.2,survey.ethnicity.3,survey.ethnicity.4,survey.ethnicity.5,survey.ethnicity.6,survey.switchFromStem,survey.intendToSwtich,survey.intendedMajor,survey.involvedInActivity,survey.intendedActivity.0,survey.intendedActivity.1,survey.intendedActivity.2,survey.intendedActivity.3,survey.intendedActivity.4,survey.intendedActivity.5,survey.intendedActivity.6,survey.intendedActivity.7,survey.intendedActivity.8,survey.intendedActivity.9,survey.intendedActivity.10,survey.intendedActivity.11,survey.intendedActivity.12,survey.no_OCA_1to14.noOCAReason13,survey.no_OCA_1to14.noOCAReason14,survey.noOCA_15to30.noOCAReason15,survey.noOCA_15to30.noOCAReason16,survey.noOCA_15to30.noOCAReason17,survey.noOCA_15to30.noOCAReason18,survey.noOCA_15to30.noOCAReason19,survey.noOCA_15to30.noOCAReason20,survey.noOCA_15to30.noOCAReason21,survey.noOCA_15to30.noOCAReason22,survey.noOCA_15to30.noOCAReason23,survey.noOCA_15to30.noOCAReason24,survey.noOCA_15to30.noOCAReason25,survey.noOCA_15to30.noOCAReason26,survey.noOCA_15to30.noOCAReason27,survey.noOCA_15to30.noOCAReason28,survey.noOCA_15to30.noOCAReason29,survey.noOCA_15to30.noOCAReason30,survey.ae_grit.ae1,survey.ae_grit.ae2,survey.ae_grit.ae3,survey.ae_grit.ae4,survey.ae_grit.ae5,survey.ae_grit.ae6,survey.ae_grit.ae7,survey.ae_grit.ae8,survey.ae_grit.ae9,survey.ae_grit.ae10,survey.ae_grit.ae11,survey.ae_grit.ae12,survey.ae_grit.ae13,survey.ae_grit.ae14,survey.ae_grit.ae15,survey.ae_grit.ae16,survey.ae_grit.ae17,survey.ae_grit.ae18,survey.ae_grit.ae19,survey.ae_grit.ae20,survey.ae_grit.ae21,survey.ae_grit.ae22,survey.ae_grit.ae23,survey.ae_grit.ae24,survey.ae_grit.ae25,survey.ae_grit.ae26,survey.ae_grit.ae27,survey.ae_grit.ae28,survey.ae_grit.grit1,survey.ae_grit.grit2,survey.ae_grit.grit3,survey.ae_grit.grit4,survey.ae_grit.grit5,survey.ae_grit.grit6,survey.ae_grit.grit7,survey.ae_grit.grit8,survey.livingArea,survey.gpa.firstYearGPA,survey.gpa.cumulativeGPA,survey.gpa.maxGPA,survey.guardian1,survey.guardian2,survey.parentEducation.guardian1SchoolLevel,survey.parentEducation.guardian2SchoolLevel,survey.siblingCompleteDegree,survey.houseIncome,survey.usCitizen,survey.military,survey.disability,survey.lgbt,survey.highschool1,survey.highschool2,survey.highschool3,survey.highschool4,survey.highschool5,survey.highschool6,survey.contact1,survey.contact2,survey.all.0,survey.all.1,survey.all.2,survey.all.3,survey.all.4,survey.all.5,survey.all.6,survey.all.7,survey.all.8,survey.all.9,survey.all.10,survey.all.11,survey.all.12,survey.all.13,survey.all.14,survey.all.15,survey.all.16,survey.all.17,survey.all.18,survey.all.19,survey.levelAct.levelAct20,survey.participationHours,survey.participationCredit,survey.participationPaid,survey.allOut.allOut1,survey.allOut.allOut2,survey.allOut.allOut3,survey.allOut.allOut4,survey.allOut.allOut5,survey.allOut.allOut6,survey.allOut.allOut7,survey.allOut.allOut8,survey.allOut.allOut9,survey.allOut.allOut10,survey.allOut.allOut11,survey.allOut.allOut12,survey.allOut.allOut13,survey.allOut.allOut14,survey.allOut.allOut15,survey.allOut.allOut16,survey.allOut.allOut17,survey.allOut.allOut18,survey.allOut.allOut19,survey.allOut.allOut20,survey.allOut.allOut21,survey.allOut.allOut22,survey.allOut.allOut23,survey.allOut.allOut24,survey.allOut.allOut25,survey.allOut.allOut26,survey.allOut.allOut27,survey.allOut.allOut28,survey.allOut.allOut29,survey.allOut.allOut30,survey.allReason_1to14.allReason1,survey.allReason_1to14.allReason2,survey.allReason_1to14.allReason3,survey.allReason_1to14.allReason4,survey.allReason_1to14.allReason5,survey.allReason_1to14.allReason6,survey.allReason_1to14.allReason7,survey.allReason_1to14.allReason8,survey.allReason_1to14.allReason9,survey.allReason_1to14.allReason10,survey.allReason_1to14.allReason11,survey.allReason_1to14.allReason12,survey.allReason_1to14.allReason13,survey.allReason_1to14.allReason14,survey.allReason_15to30.allReason15,survey.allReason_15to30.allReason16,survey.allReason_15to30.allReason17,survey.allReason_15to30.allReason18,survey.allReason_15to30.allReason19,survey.allReason_15to30.allReason20,survey.allReason_15to30.allReason21,survey.allReason_15to30.allReason22,survey.allReason_15to30.allReason23,survey.allReason_15to30.allReason24,survey.allReason_15to30.allReason25,survey.allReason_15to30.allReason26,survey.allReason_15to30.allReason27,survey.allReason_15to30.allReason28,survey.allReason_15to30.allReason29,survey.allReason_15to30.allReason30,survey.top,survey.topOut.topOut1,survey.topOut.topOut2,survey.topOut.topOut3,survey.topOut.topOut4,survey.topOut.topOut5,survey.topOut.topOut6,survey.topOut.topOut7,survey.topOut.topOut8,survey.topOut.topOut9,survey.topOut.topOut10,survey.topOut.topOut11,survey.topOut.topOut12,survey.topOut.topOut13,survey.topOut.topOut14,survey.topOut.topOut15,survey.topOut.topOut16,survey.topOut.topOut17,survey.topOut.topOut18,survey.topOut.topOut19,survey.topOut.topOut20,survey.topOut.topOut21,survey.topOut.topOut22,survey.topOut.topOut23,survey.topOut.topOut24,survey.topOut.topOut25,survey.topOut.topOut26,survey.topOut.topOut27,survey.topOut.topOut28,survey.topOut.topOut29,survey.topOut.topOut30,survey.topReason.topReason1,survey.topReason.topReason2,survey.topReason.topReason3,survey.topReason.topReason4,survey.topReason.topReason5,survey.topReason.topReason6,survey.topReason.topReason7,survey.topReason.topReason8,survey.topReason.topReason9,survey.topReason.topReason10,survey.topReason.topReason11,survey.topReason.topReason12,survey.topReason.topReason13,survey.topReason.topReason14
547,22,Woman,White,,,,,,,"Yes, from a STEM Major",No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,24,Man,Asian,3,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,3,2,3,4,2,4,1,3,3,4,3,3,3,2,3,4,4,4,4,4,3,3,3,3,4,2,3,2,3,2,2,2,Off campus with friends/peers,,3.94,4.0,Father,Mother,Vocational/technical certificate or diploma,Bachelor's or other 4-year degree,Yes,"Less than $19,999",an International Student (on F-1 or J-1 visa),No,I have no disabilities,Heterosexual (or Straight),No,,,Yes,3,4,,Yes,16_Research,18_Sports,,,,,,,,,,,,,,,,,,,,12+,No,Yes,4,3,1,4,1,3,1,1,3,2,3,2,2,4,4,4,4,2,3,2,4,4,4,3,2,1,2,4,4,3,3,2,2,2,2,2,2,1,4,1,4,4,3,3,3,2,2,1,1,1,2,2,4,3,1,1,1,2,2,1,16_Research,4,3,2,3,2,4,1,1,3,3,4,3,3,4,4,4,4,4,2,2,3,4,4,3,3,3,2,4,3,3,3,2,3,4,1,1,2,3,4,4,1,1,1,3
549,28,Man,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,3,2,2,2,3,2,4,3,3,3,4,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3,1,4,4,Off campus with family,,3.9,4.0,Mother,Father,Associate or other 2-year degree,Attended college but did not receive a degree,No,"$60,000 - $79,999",a U.S. Citizen: born in the U.S.,Yes,I have no disabilities,Heterosexual (or Straight),Yes,Fruita Monument High School,81521,Yes,1,3,,No,9_Job,12_Military,16_Research,20_Other,,,,,,,,,,,,,,,,,3,4-6,No,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,1,1,3,3,1,1,2,1,1,1,1,3,3,3,4,2,2,3,3,4,3,3,3,3,1,2,2,2,2,1,2,1,1,3,2,3,2,1,1,2,1,16_Research,4,3,2,4,3,4,3,2,3,3,3,3,3,2,4,,4,3,4,2,1,3,3,1,1,1,1,1,1,1,3,4,3,3,2,1,3,3,4,3,3,3,4,1
550,21,Man,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_Research,,,,,,,,,,,,,,,,,,,,,4-6,No,No,3,2,3,3,3,2,1,1,3,1,3,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,3,4,3,2,4,1,1,1,2,1,1,1,3,3,2,3,3,2,2,1,1,1,16_Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,19,Man,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_Fraternity,,,,,,,,,,,,,,,,,,,,,7-9,No,No,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,3,4,2,1,1,3,3,1,1,3,1,1,1,1,3,2,2,4,3,4,3,1,4,2,4,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,20,Man,White,Hispanic,,,,,,No,No,,No,6_Fraternity,9_Job,18_Sports,,,,,,,,,,,4,4,4,2,2,2,2,2,2,2,4,3,1,2,2,2,2,1,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,A fraternity or sorority residence,,3.12,4.0,Mother,Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,19,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_Sports,,,,,,,,,,,,,,,,,,,,,1-3,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,22,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6_Fraternity,9_Job,11_Media,15_Professional,18_Sports,,,,,,,,,,,,,,,,,12+,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,20,Man,Hispanic,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,3,1,1,1,4,2,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,2,3,3,3,Off campus with friends/peers,,3.92,4,Mother,Not applicable,Did not finish high school,Unknown/Not applicable,I Don't Have a Sibling,"Less than $19,999",a U.S. Citizen: naturalized,No,I have no disabilities,Heterosexual (or Straight),Yes,Floyd E Kellam,23456,No,,,,No,7_Coeducation,9_Job,13_Music,Pre-professional,15_Professional,16_Research,17_Public,,,,,,,,,,,,,,,4-6,Yes,Yes,3,4,4,2,3,3,3,2,4,3,4,4,4,3,4,2,3,3,3,1,1,4,4,2,2,3,1,1,1,4,2,3,3,3,3,2,3,3,3,3,2,3,3,2,4,2,3,2,2,2,2,2,3,4,2,2,3,2,2,2,9_Job,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,1,1,2,1,1,1,1,2,3,3,3,4,4,4,4,3,4,1,2,4,1
556,22,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2_Culture,9_Job,Pre-professional,18_Sports,,,,,,,,,,,,,,,,,,4-6,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,21,Man,White,,,,,,,"Yes, from a STEM Major",No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4_Env,7_Coeducation,13_Music,16_Research,19_Government,20_Other,,,,,,,,,,,,,,,4,7-9,Yes,Yes,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,19,Woman,White,,,,,,,"Yes, from a STEM Major",No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4_Env,7_Coeducation,20_Other,,,,,,,,,,,,,,,,,,3,1-3,No,No,3,4,4,2,4,3,2,2,4,4,4,4,4,4,2,2,3,3,2,2,2,2,3,1,2,2,1,1,1,1,3,2,4,3,3,3,4,2,3,3,4,4,4,2,2,2,2,1,1,3,3,3,2,2,2,2,1,1,1,1,20_Other,3,3,4,3,4,3,4,3,4,4,4,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,
559,21,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,2,4,2,2,4,4,Off campus with friends/peers,,3.89,4.0,Mother,Father,Bachelor's or other 4-year degree,"Master's degree (M.A., M.S., M.B.A., etc.)",No,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Lesbian,Yes,Middle Creek,27606,Yes,5,4,,Yes,2_Culture,5_Film,8_International,9_Job,18_Sports,,,,,,,,,,,,,,,,,12+,No,Yes,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,3,1,1,2,3,1,1,2,1,1,1,1,3,3,3,3,2,2,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,18_Sports,4,4,4,3,4,3,4,4,4,4,4,4,4,2,3,3,3,2,2,1,1,3,3,1,1,1,1,1,1,1,2,3,3,3,2,2,3,2,3,3,3,3,3,1
560,23,Man,White,,,,,,,No,No,,No,9_Job,,,,,,,,,,,,,3,3,3,2,4,3,2,2,2,2,4,3,3,3,2,2,2,2,3,2,3,3,2,2,2,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,4,2,2,4,4,Off campus with friends/peers,,3.60,4.00,Mother,Father,Bachelor's or other 4-year degree,Bachelor's or other 4-year degree,Yes,"$60,000 - $79,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Centreville High School,20124,Yes,4,3,None.,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,37,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,2,1,2,4,1,4,4,4,4,2,4,3,4,2,4,4,4,4,4,4,4,4,4,4,3,3,2,4,2,2,3,4,Off campus by myself,3.68,3.68,4.0,Mother,Father,Bachelor's or other 4-year degree,"Master's degree (M.A., M.S., M.B.A., etc.)",No,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,Yes,I have no disabilities,Heterosexual (or Straight),Yes,Chattahoochee High School,30022,Yes,3,3,,No,2_Culture,7_Coeducation,9_Job,17_Public,,,,,,,,,,,,,,,,,,4-6,No,Yes,3,4,3,3,4,3,3,3,3,4,3,4,3,4,3,3,4,3,3,1,3,3,3,1,1,1,1,1,1,1,2,3,3,4,2,2,3,2,4,3,4,2,3,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,9_Job,3,4,3,2,2,4,2,2,3,2,2,2,3,2,2,2,4,3,2,3,4,4,4,2,3,1,1,1,1,1,2,2,2,3,2,2,2,4,2,4,2,2,2,2
562,20,Woman,White,,,,,,,No,No,,No,17_Public,20_Other,,,,,,,,,,,,3,2,4,2,3,3,2,2,3,3,4,3,3,4,3,3,3,3,3,2,2,2,3,3,3,2,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,4,2,4,4,2,3,3,3,"A residence hall, but not as part of a living/learning program",,3.4,,Mother,Father,Associate or other 2-year degree,Associate or other 2-year degree,Yes,"$60,000 - $79,999",a U.S. Citizen: born in the U.S.,No,Visual impairment,Heterosexual (or Straight),Yes,Strasburg High School,22664,Yes,2,3,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,21,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,4,4,2,1,1,3,1,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,2,2,2,4,2,2,3,3,A fraternity or sorority residence,,3.5,4,Mother,Father,"Master's degree (M.A., M.S., M.B.A., etc.)","Master's degree (M.A., M.S., M.B.A., etc.)",Yes,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,EC Glass,24061,Yes,4,4,,Yes,6_Fraternity,,,,,,,,,,,,,,,,,,,,,12+,No,No,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,1,1,1,1,3,1,1,1,1,3,3,3,4,2,2,4,2,4,3,3,3,3,2,1,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,6_Fraternity,4,4,4,4,4,3,3,3,4,4,4,4,3,2,3,3,4,3,4,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,2,2,3,2,4,2,3,3,3,2
564,21,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,1,1,1,4,1,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,2,3,Off campus with friends/peers,,3.8,4.0,Mother,Father,Bachelor's or other 4-year degree,"Master's degree (M.A., M.S., M.B.A., etc.)",Yes,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Dublin Coffman High School,43017,Yes,3,3,,Yes,1_Design,6_Fraternity,9_Job,18_Sports,,,,,,,,,,,,,,,,,,10-12,Yes,Yes,2,4,4,4,4,4,2,2,3,3,3,3,3,3,2,2,3,2,2,3,1,3,3,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,2,3,1,1,3,1,1,3,3,3,3,3,1,1,1,1,1,1,9_Job,2,3,3,2,3,3,1,1,3,2,3,3,3,1,1,1,3,2,2,3,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,1,3,1,3,3,3,2,2,3
565,20,Woman,White,Asian,,,,,,"Yes, from a STEM Major",No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,2,3,3,3,3,2,3,3,Off campus with friends/peers,,3.6,4,Mother,Not applicable,Bachelor's or other 4-year degree,Unknown/Not applicable,Yes,"$80,000 - $99,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Forest park,22191,Yes,2,3,,No,9_Job,20_Other,,,,,,,,,,,,,,,,,,,2,10-12,No,Yes,3,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,2,3,2,2,2,2,2,3,3,2,3,3,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,2,2,20_Other,3,3,3,3,3,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2
566,21,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,4,4,1,1,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,3,1,4,4,Off campus with friends/peers,,3.42,,Father,Mother,"Master's degree (M.A., M.S., M.B.A., etc.)",Bachelor's or other 4-year degree,No,"$150,000 - $200,000",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Chittenango High School,13037,Yes,5,4,,No,1_Design,8_International,9_Job,18_Sports,20_Other,,,,,,,,,,,,,,,,2,7-9,Yes,Yes,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,2,2,2,2,2,8_International,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,3,1,1,1,1,1,1,1,3,3,3,3,2,1,2,2,3,3,3,3,3,2
567,27,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Music,16_Research,18_Sports,,,,,,,,,,,,,,,,,,,12+,Yes,No,3,3,4,3,3,3,2,4,4,3,3,2,3,3,3,3,3,3,2,1,2,2,3,1,1,1,1,1,1,1,3,4,2,2,2,2,2,2,4,4,4,4,4,2,4,2,3,1,1,1,2,2,3,4,2,1,1,3,1,1,18_Sports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,20,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,3,3,Off campus with friends/peers,,3.54,,Mother,Father,"Master's degree (M.A., M.S., M.B.A., etc.)","Master's degree (M.A., M.S., M.B.A., etc.)",Yes,"More than $200,000",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Marriotts Ridge,21104,Yes,3,4,Too Long,No,2_Culture,7_Coeducation,10_Community,17_Public,,,,,,,,,,,,,,,,,,7-9,No,No,3,4,3,3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,3,3,3,3,2,2,4,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10_Community,3,4,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,4,2,3,3,3,3,3,3,3,2,2
569,20,Woman,White,,,,,,,"Yes, from a non-STEM major",No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,3,2,2,2,4,2,3,3,4,4,3,4,4,3,3,2,4,4,4,4,4,3,2,2,1,3,3,2,3,2,3,3,3,Off campus with friends/peers,N/A,3.93,4.0,Mother,Father,"Master's degree (M.A., M.S., M.B.A., etc.)","Master's degree (M.A., M.S., M.B.A., etc.)",No,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Grafton High School,23693,Yes,3,4,N/A,Yes,9_Job,20_Other,,,,,,,,,,,,,,,,,,,2,12+,No,Yes,3,4,4,3,4,4,4,3,4,4,4,4,3,3,3,3,4,4,2,1,1,3,4,1,1,1,1,2,1,1,2,4,3,4,3,4,4,4,3,4,2,1,2,1,1,2,2,1,1,3,2,3,4,4,1,3,1,1,1,1,9_Job,3,4,4,3,4,4,4,3,4,4,4,4,2,3,3,3,3,2,4,1,1,3,4,1,1,1,1,2,1,1,2,3,3,4,3,4,4,3,4,4,2,1,2,1
570,19,Man,White,,,,,,,No,No,,No,1_Design,,,,,,,,,,,,,3,3,4,2,3,2,1,4,2,4,4,4,2,2,2,2,2,2,4,1,4,4,1,1,4,4,1,4,4,4,4,3,1,1,2,2,2,2,4,4,4,3,3,2,2,1,3,1,3,4,2,2,3,2,"A residence hall, but not as part of a living/learning program",,3.2,,Mother,Father,"Master's degree (M.A., M.S., M.B.A., etc.)","Master's degree (M.A., M.S., M.B.A., etc.)",No,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Gay,Yes,Pinecrest High School,28374,Yes,2,4,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,21,Woman,White,,,,,,,No,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,1,2,2,3,2,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,2,3,Off campus with friends/peers,,2.86,4.0,Mother,Father,"Master's degree (M.A., M.S., M.B.A., etc.)","Master's degree (M.A., M.S., M.B.A., etc.)",Yes,"$100,000 - $149,999",a U.S. Citizen: born in the U.S.,No,I have no disabilities,Heterosexual (or Straight),Yes,Bayard Rustin,19382,Yes,3,4,,Yes,20_Other,,,,,,,,,,,,,,,,,,,,3,1-3,No,No,3,4,3,2,3,2,2,3,3,3,3,3,3,3,2,3,4,3,2,2,1,1,1,1,1,1,1,1,1,1,4,4,3,4,2,3,3,2,4,3,3,4,3,2,1,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,20_Other,3,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,4,2,3,3,3,2
